Year,JAN-mm,FEB-mm,MAR-mm,APR-mm,MAY-mm,JUN-mm,JUL-mm,AUG-mm,SEP-mm,OCT-mm,NOV-mm,DEC-mm,ANNUAL-mm
1959,70.8,124.6,48.4,48.4,80.1,142.5,132.2,129.6,110.5,83.6,57.8,145,1218.3
1958,118.7,78.6,88.8,40.2,58,45.3,125.9,125.3,139.6,106.4,42.7,141.3,1132.1
1957,136.5,45.9,51.9,38.9,40.9,87.4,117.7,181.9,100.3,81.1,67.4,138.5,1050.6
1956,95.9,95,31.9,71.4,84.5,115.8,41.5,32.5,109,79.6,69.9,135.5,979
1955,109.4,118.2,95.7,25.6,106,77.2,113.3,82.2,125.9,159.5,147.3,92.8,1276.6
1954,90.2,39.7,16.4,56.1,62.3,48.8,135.9,94.4,91.5,62.8,102.7,121.3,843.4
1953,40,39.8,49.4,44,43.8,71.5,52.5,126.5,59.9,115.4,79,138.6,942.5
1952,139.5,95,82.6,53.7,51.2,67.3,92.7,123.8,73,34.2,164.9,104.2,1075.4
1951,98.6,99.5,53.1,123.4,37.4,66.4,154.2,153.9,193.9,100.3,86.2,154.6,1242.1
1950,69.5,79.7,67.6,81.4,60.5,29.4,70.4,89,67.9,143.1,107.4,163.3,1048.6
1949,97.6,68.1,72.9,61.6,52.3,101,82.4,110.1,111.3,90.1,78.5,81,1170.4
1948,178.9,33.6,136.9,106.5,105.3,106.5,116.8,12.4,81.9,57.5,152,132.2,1099.3
1947,108.7,87.1,44.6,28.7,33,99.3,109.7,142.2,180.4,37.1,119.7,112.8,1142.4
1946,128.2,101.1,43.2,51.4,118.4,119.2,113.4,44.3,91.2,112,29.7,135,1037.3
1945,100.5,38.9,24.5,63.4,57.3,86,99.4,86.8,149.7,137.4,151.2,79.4,1147.3
1944,117.8,78.1,38.9,71.2,102.6,97.2,65.8,172.6,86.1,100.8,92.1,142.6,1124.4
1943,139.6,56.3,91.6,60,99.9,14.9,115.6,150.3,143.2,107.9,29.4,64,1190.7
